Time,ID,Action,Weight (kg),Weight (g)
2020-01-08 10:42:55,,weight checked,3.619,
2020-01-08 10:45:55,000054,food added,,133.47
2020-01-08 10:47:44,000055,food added,,46.51
2020-01-08 10:47:55,,weight checked,3.787,
2020-01-08 10:49:47,000056,food added,,94.14
2020-01-08 10:49:51,000057,food added,,67.07
2020-01-08 10:49:57,000058,food added,,76.44
2020-01-08 10:52:56,,weight checked,4.048,
2020-01-08 10:57:56,,weight checked,4.063,
2020-01-08 11:02:57,,weight checked,4.061,
2020-01-08 11:07:57,,weight checked,4.068,
2020-01-08 11:10:07,000059,food added,,154.80
2020-01-08 11:11:30,000060,food added,,112.50
2020-01-08 11:12:27,000061,food added,,64.00
2020-01-08 11:12:57,,weight checked,4.391,
2020-01-08 11:14:39,000062,food added,,113.60
2020-01-08 11:15:25,000063,food added,,63.59
2020-01-08 11:16:46,000064,food added,,29.16
2020-01-08 11:17:58,,weight checked,4.601,
2020-01-08 11:22:58,,weight checked,4.599,
2020-01-08 11:24:06,000065,food added,,40.79
2020-01-08 11:24:48,000066,food added,,39.17
2020-01-08 11:27:59,,weight checked,4.701,
2020-01-08 11:32:59,,weight checked,4.728,
2020-01-08 11:38:00,000067,food added,,37.65
2020-01-08 11:38:00,,weight checked,4.796,
2020-01-08 11:40:37,000068,food added,,48.92
2020-01-08 11:41:30,000069,food added,,74.34
2020-01-08 11:42:13,000070,food added,,91.89
2020-01-08 11:43:00,,weight checked,5.040,
2020-01-08 11:48:01,,weight checked,5.058,
2020-01-08 11:53:01,,weight checked,5.068,
2020-01-08 11:54:09,000071,food added,,171.14
2020-01-08 11:54:15,000072,food added,,123.02
2020-01-08 11:56:17,000073,food added,,85.20
2020-01-08 11:56:57,000074,food added,,20.92
2020-01-08 11:58:01,,weight checked,5.443,
2020-01-08 11:59:57,000075,food added,,31.84
2020-01-08 12:03:02,,weight checked,5.513,
2020-01-08 12:08:02,,weight checked,5.529,
2020-01-08 12:13:03,,weight checked,5.542,
2020-01-08 12:15:07,000076,food added,,85.37
2020-01-08 12:17:05,000077,food added,,42.35
2020-01-08 12:17:39,000078,food added,,60.14
2020-01-08 12:18:03,,weight checked,5.775,
2020-01-08 12:20:37,000079,food added,,62.59
2020-01-08 12:20:40,000080,food added,,29.09
2020-01-08 12:21:38,000081,food added,,25.82
2020-01-08 12:22:36,000082,food added,,133.52
2020-01-08 12:23:04,,weight checked,6.063,
2020-01-08 12:23:24,000083,food added,,65.21
2020-01-08 12:23:45,000084,food added,,154.29
2020-01-08 12:24:59,000085,food added,,34.47
2020-01-08 12:25:05,000086,food added,,56.82
2020-01-08 12:26:09,000087,food added,,183.18
2020-01-08 12:26:23,000088,food added,,160.84
2020-01-08 12:27:02,000089,food added,,103.76
2020-01-08 12:28:04,,weight checked,6.751,
2020-01-08 12:28:08,000090,food added,,33.09
2020-01-08 12:30:22,000091,food added,,28.69
2020-01-08 12:30:28,000092,food added,,72.02
2020-01-08 12:30:35,000093,food added,,39.93
2020-01-08 12:30:55,000094,food added,,26.39
2020-01-08 12:30:58,000095,food added,,54.65
2020-01-08 12:31:14,000096,food added,,33.95
2020-01-08 12:31:22,000097,food added,,88.19
2020-01-08 12:33:05,,weight checked,7.194,
2020-01-08 12:33:47,000098,food added,,387.55
2020-01-08 12:35:11,000099,food added,,80.89
2020-01-08 12:36:49,000100,food added,,89.80
2020-01-08 12:37:30,000101,food added,,28.05
2020-01-08 12:38:05,,weight checked,7.827,
2020-01-08 12:38:21,000102,food added,,59.30
2020-01-08 12:43:06,,weight checked,7.929,
2020-01-08 12:43:40,000103,food added,,103.80
2020-01-08 12:45:35,000104,food added,,282.71
2020-01-08 12:46:08,000105,food added,,47.30
2020-01-08 12:46:56,000106,food added,,28.40
2020-01-08 12:47:32,000107,food added,,66.69
2020-01-08 12:48:06,,weight checked,8.616,
2020-01-08 12:53:06,,weight checked,8.693,
2020-01-08 12:55:44,000108,food added,,41.65
2020-01-08 12:55:52,000109,food added,,120.62
2020-01-08 12:56:44,000110,food added,,32.31
2020-01-08 12:56:50,000111,food added,,152.15
2020-01-08 12:58:07,,weight checked,9.082,
2020-01-08 12:59:54,000112,food added,,40.12
2020-01-08 12:59:59,000113,food added,,23.94
2020-01-08 13:00:51,000114,food added,,46.61
2020-01-08 13:00:58,000115,food added,,108.64
2020-01-08 13:03:07,,weight checked,9.353,
2020-01-08 13:05:59,000116,food added,,127.85
2020-01-08 13:06:18,000117,food added,,29.96
2020-01-08 13:08:08,,weight checked,9.522,
2020-01-08 13:13:08,,weight checked,9.522,
2020-01-08 13:15:45,000118,food added,,141.50
2020-01-08 13:16:39,000119,food added,,32.28
2020-01-08 13:17:13,000120,food added,,207.77
2020-01-08 13:18:09,,weight checked,9.925,
2020-01-08 13:18:27,000121,food added,,107.28
2020-01-08 13:18:52,000122,food added,,133.12
2020-01-08 13:19:07,000123,food added,,31.22
2020-01-08 13:19:53,000124,food added,,194.39
2020-01-08 13:23:09,,weight checked,10.355,
2020-01-08 13:23:23,000125,food added,,84.97
2020-01-08 13:23:28,000126,food added,,135.63
2020-01-08 13:23:41,000127,food added,,31.48
2020-01-08 13:24:00,000128,food added,,100.71
2020-01-08 13:26:23,000129,food added,,156.74
2020-01-08 13:26:46,000130,food added,,176.01
2020-01-08 13:28:10,,weight checked,10.945,
2020-01-08 13:28:16,000131,food added,,84.22
2020-01-08 13:29:28,000132,food added,,68.69
2020-01-08 13:29:33,000133,food added,,50.91
2020-01-08 13:29:49,000134,food added,,25.37
2020-01-08 13:30:46,000135,food added,,88.34
2020-01-08 13:31:01,000136,food added,,90.86
2020-01-08 13:33:10,,weight checked,11.385,
2020-01-08 13:34:56,000137,food added,,35.80
2020-01-08 13:36:50,000138,food added,,70.91
2020-01-08 13:38:12,,weight checked,11.588,
2020-01-08 13:38:12,000139,food added,,107.66
2020-01-08 13:38:23,000140,food added,,62.67
2020-01-08 13:41:33,000141,food added,,38.62
2020-01-08 13:43:11,,weight checked,11.705,
2020-01-08 13:44:08,000142,food added,,62.64
2020-01-08 13:44:14,000143,food added,,82.50
2020-01-08 13:48:11,,weight checked,11.857,
2020-01-08 13:51:33,000144,food added,,69.95
2020-01-08 13:53:12,,weight checked,11.935,
2020-01-08 13:55:08,000145,food added,,37.11
2020-01-08 13:55:21,000146,food added,,75.68
2020-01-08 13:56:05,000147,food added,,116.26
2020-01-08 13:58:12,,weight checked,12.121,
2020-01-08 13:59:11,000148,food added,,78.81
2020-01-08 13:59:59,000149,food added,,161.87
2020-01-08 14:02:00,000150,food added,,52.06
2020-01-08 14:03:13,,weight checked,12.408,
2020-01-08 14:03:31,000151,food added,,56.91
2020-01-08 14:03:40,000152,food added,,88.01
2020-01-08 14:04:53,000153,food added,,37.30
2020-01-08 14:08:13,,weight checked,12.534,
2020-01-08 14:10:16,000154,food added,,102.02
2020-01-08 14:13:14,,weight checked,12.622,
2020-01-08 14:18:14,,weight checked,12.648,
2020-01-08 14:23:14,,weight checked,12.634,
2020-01-08 14:28:15,,weight checked,12.668,
2020-01-08 14:29:04,000155,food added,,35.18
2020-01-08 14:29:56,000156,food added,,93.14
2020-01-08 14:31:12,000157,food added,,84.07
2020-01-08 14:33:15,,weight checked,12.905,
2020-01-08 14:38:16,,weight checked,12.949,
2020-01-08 14:43:16,,weight checked,12.971,
2020-01-08 14:48:17,,weight checked,12.975,
2020-01-08 14:48:42,000158,food added,,27.68
2020-01-08 14:48:44,000159,food added,,76.10
2020-01-08 14:53:17,,weight checked,12.949,
2020-01-08 14:58:18,,weight checked,12.952,
2020-01-08 15:03:18,,weight checked,12.962,
2020-01-08 15:08:19,,weight checked,12.984,
2020-01-08 15:13:19,,weight checked,12.984,
2020-01-08 15:18:19,,weight checked,12.962,
2020-01-08 15:19:27,000160,food added,,37.82
2020-01-08 15:23:20,,weight checked,12.988,
2020-01-08 15:25:36,000161,food added,,77.36
2020-01-08 15:26:41,000162,food added,,173.11
2020-01-08 15:28:20,,weight checked,13.208,
2020-01-08 15:32:19,000163,food added,,136.05
2020-01-08 15:33:21,,weight checked,13.335,
2020-01-08 15:38:21,,weight checked,13.312,
2020-01-08 15:43:22,,weight checked,13.312,
2020-01-08 15:48:22,,weight checked,13.295,
2020-01-08 15:53:23,,weight checked,13.313,
2020-01-08 15:57:09,000164,food added,,135.14
2020-01-08 15:58:23,,weight checked,13.484,
2020-01-08 16:03:24,,weight checked,13.510,
2020-01-08 16:08:24,,weight checked,13.539,
2020-01-08 16:08:48,000165,food added,,53.42
2020-01-08 16:08:55,000166,food added,,65.79
2020-01-08 16:13:24,,weight checked,13.661,
2020-01-08 16:18:25,,weight checked,13.672,
2020-01-08 16:23:25,,weight checked,13.669,
2020-01-08 16:28:26,,weight checked,13.643,
2020-01-08 16:33:26,,weight checked,13.615,
2020-01-08 16:38:27,,weight checked,13.605,
2020-01-08 16:43:27,,weight checked,13.618,
2020-01-08 16:48:28,,weight checked,13.659,
2020-01-08 16:53:28,,weight checked,13.704,
2020-01-08 16:58:28,,weight checked,13.736,
2020-01-08 17:03:29,,weight checked,13.740,
2020-01-08 17:05:40,000167,food added,,142.71
2020-01-08 17:08:29,,weight checked,13.904,
2020-01-08 17:11:17,000168,food added,,104.63
2020-01-08 17:12:17,000169,food added,,120.17
2020-01-08 17:13:30,,weight checked,14.114,
2020-01-08 17:18:21,000170,food added,,24.97
2020-01-08 17:18:30,,weight checked,14.143,
2020-01-08 17:23:17,000171,food added,,28.96
2020-01-08 17:23:31,,weight checked,14.162,
2020-01-08 17:24:24,000172,food added,,92.31
2020-01-08 17:24:55,000173,food added,,107.29
2020-01-08 17:25:54,000174,food added,,231.74
2020-01-08 17:26:58,000175,food added,,28.41
2020-01-08 17:27:45,000176,food added,,69.41
2020-01-08 17:28:31,,weight checked,14.670,
2020-01-08 17:33:20,000177,food added,,143.73
2020-01-08 17:33:32,,weight checked,14.788,
2020-01-08 17:37:11,000178,food added,,135.44
2020-01-08 17:37:16,000179,food added,,193.67
2020-01-08 17:37:27,000180,food added,,92.16
2020-01-08 17:37:35,000181,food added,,85.34
2020-01-08 17:37:41,000182,food added,,49.12
2020-01-08 17:38:28,000183,food added,,180.87
2020-01-08 17:38:32,,weight checked,15.461,
2020-01-08 17:38:47,000184,food added,,321.29
2020-01-08 17:38:59,000185,food added,,104.47
2020-01-08 17:39:23,000186,food added,,123.06
2020-01-08 17:42:20,000187,food added,,30.35
2020-01-08 17:43:32,,weight checked,15.959,
2020-01-08 17:44:55,000188,food added,,124.36
2020-01-08 17:45:42,000189,food added,,26.21
2020-01-08 17:45:50,000190,food added,,44.74
2020-01-08 17:47:36,000191,food added,,182.47
2020-01-08 17:48:33,,weight checked,16.338,
2020-01-08 17:49:50,000192,food added,,23.97
2020-01-08 17:50:00,000193,food added,,54.98
2020-01-08 17:50:08,000194,food added,,233.52
2020-01-08 17:50:13,000195,food added,,23.78
