Time,ID,Action,Weight (kg),Weight (g)
2019-12-02 08:01:24,000054,food added,,197.23
2019-12-02 08:05:52,,weight checked,1.330,
2019-12-02 08:10:53,,weight checked,1.332,
2019-12-02 08:11:43,000055,food added,,40.36
2019-12-02 08:15:53,,weight checked,1.370,
2019-12-02 08:20:56,,weight checked,1.432,
2019-12-02 08:25:54,,weight checked,1.421,
2019-12-02 08:30:54,,weight checked,1.399,
2019-12-02 08:35:55,,weight checked,1.390,
2019-12-02 08:37:28,000057,food added,,147.12
2019-12-02 08:40:02,000058,food added,,29.24
2019-12-02 08:40:55,,weight checked,1.556,
2019-12-02 08:44:07,000059,food added,,25.65
2019-12-02 08:45:56,,weight checked,1.601,
2019-12-02 08:50:56,,weight checked,1.620,
2019-12-02 08:55:57,,weight checked,1.621,
2019-12-02 08:59:02,000060,food added,,57.50
2019-12-02 09:00:57,,weight checked,1.703,
2019-12-02 09:01:07,000061,food added,,62.92
2019-12-02 09:03:37,000062,food added,,135.41
2019-12-02 09:05:54,000063,food added,,32.34
2019-12-02 09:05:58,,weight checked,1.941,
2019-12-02 09:08:33,000064,food added,,132.23
2019-12-02 09:08:42,000065,food added,,60.78
2019-12-02 09:10:58,,weight checked,2.134,
2019-12-02 09:15:58,,weight checked,2.134,
2019-12-02 09:16:54,000066,food added,,80.74
2019-12-02 09:17:00,000067,food added,,205.79
2019-12-02 09:18:19,000068,food added,,117.37
2019-12-02 09:20:11,000069,food added,,188.84
2019-12-02 09:20:59,,weight checked,2.715,
2019-12-02 09:25:59,,weight checked,2.729,
2019-12-02 09:26:12,000070,food added,,47.94
2019-12-02 09:31:00,,weight checked,2.764,
2019-12-02 09:33:26,000071,food added,,56.38
2019-12-02 09:34:56,000072,food added,,170.22
2019-12-02 09:36:00,,weight checked,2.953,
2019-12-02 09:41:01,,weight checked,2.947,
2019-12-02 09:44:30,000073,food added,,79.80
2019-12-02 09:44:41,000074,food added,,87.95
2019-12-02 09:46:01,,weight checked,3.085,
2019-12-02 09:47:13,000075,food added,,73.19
2019-12-02 09:48:34,000076,food added,,72.22
2019-12-02 09:51:02,,weight checked,3.237,
2019-12-02 09:56:02,,weight checked,3.235,
2019-12-02 09:59:57,000077,food added,,56.00
2019-12-02 10:01:03,,weight checked,3.255,
2019-12-02 10:03:58,000078,food added,,162.02
2019-12-02 10:04:30,000079,food added,,62.97
2019-12-02 10:06:03,,weight checked,3.470,
2019-12-02 10:57:42,000080,scale reset,0.000,
2019-12-02 11:02:40,,weight checked,-0.068,
2019-12-02 11:07:40,,weight checked,-0.057,
2019-12-02 11:07:50,000081,food added,,281.46
2019-12-02 11:12:41,,weight checked,0.166,
2019-12-02 11:13:05,000082,food added,,132.51
2019-12-02 11:13:28,000083,food added,,82.50
2019-12-02 11:14:28,000084,food added,,52.31
2019-12-02 11:16:11,000085,food added,,184.34
2019-12-02 11:16:51,000086,food added,,24.59
2019-12-02 11:17:41,,weight checked,0.617,
2019-12-02 11:18:20,000087,food added,,67.67
2019-12-02 11:22:42,,weight checked,0.719,
2019-12-02 11:26:36,000088,food added,,163.11
2019-12-02 11:27:27,000089,food added,,115.21
2019-12-02 11:27:42,,weight checked,1.014,
2019-12-02 11:28:49,000090,food added,,485.49
2019-12-02 11:28:59,000091,food added,,104.12
2019-12-02 11:29:06,000092,food added,,90.94
2019-12-02 11:29:12,000093,food added,,44.52
2019-12-02 11:29:43,000094,food added,,20.37
2019-12-02 11:32:43,,weight checked,1.746,
2019-12-02 11:32:52,000095,food added,,34.64
2019-12-02 11:37:43,,weight checked,1.815,
2019-12-02 11:39:54,000096,food added,,234.15
2019-12-02 11:42:43,,weight checked,2.146,
2019-12-02 11:47:44,,weight checked,2.162,
2019-12-02 11:52:44,,weight checked,2.218,
2019-12-02 11:52:51,000098,food added,,125.79
2019-12-02 11:55:34,000099,food added,,24.14
2019-12-02 11:56:52,000100,food added,,90.93
2019-12-02 11:57:08,000101,food added,,29.74
2019-12-02 11:57:45,,weight checked,2.490,
2019-12-02 11:59:14,000102,food added,,64.84
2019-12-02 12:02:45,,weight checked,2.569,
2019-12-02 12:04:11,000103,food added,,251.14
2019-12-02 12:04:32,000104,food added,,48.30
2019-12-02 12:07:46,,weight checked,2.828,
2019-12-02 12:09:38,000105,food added,,138.69
2019-12-02 12:12:46,,weight checked,2.962,
2019-12-02 12:13:04,000106,food added,,71.57
2019-12-02 12:13:20,000107,food added,,228.47
2019-12-02 12:14:15,000108,food added,,195.65
2019-12-02 12:14:24,000109,food added,,120.82
2019-12-02 12:14:45,000110,food added,,26.34
2019-12-02 12:15:17,000111,food added,,34.08
2019-12-02 12:15:47,000112,food added,,81.14
2019-12-02 12:16:55,000113,food added,,29.40
2019-12-02 12:17:02,000114,food added,,53.65
2019-12-02 12:17:47,,weight checked,3.717,
2019-12-02 12:21:47,000115,food added,,101.23
2019-12-02 12:22:09,000116,food added,,33.07
2019-12-02 12:22:26,000117,food added,,204.46
2019-12-02 12:22:47,,weight checked,4.083,
2019-12-02 12:23:11,000118,food added,,64.16
2019-12-02 12:23:29,000119,food added,,78.71
2019-12-02 12:24:21,000120,food added,,92.81
2019-12-02 12:24:30,000121,food added,,118.51
2019-12-02 12:24:42,000122,food added,,29.79
2019-12-02 12:24:53,000123,food added,,24.76
2019-12-02 12:25:20,000124,food added,,22.64
2019-12-02 12:25:44,000125,food added,,163.22
2019-12-02 12:26:30,000126,food added,,478.04
2019-12-02 12:26:58,000127,food added,,78.04
