Time (h),Reading (kg),Average (kg),Delta (g)
302.868403,20.0544,20.0536,-0.5
302.868414,20.0535,20.0538,-0.1
302.868426,20.0566,20.0548,1.1
302.868437,20.0540,20.0550,1.0
302.868449,20.0544,20.0546,-0.1
302.868461,20.0564,20.0549,-0.0
302.868472,20.0569,20.0550,0.5
302.868484,20.0548,20.0549,0.2
302.868495,20.0534,20.0547,-0.4
302.868507,20.0533,20.0550,0.2
302.868519,20.0552,20.0549,0.2
302.86853,20.0550,20.0550,-0.3
302.868542,20.0576,20.0556,0.6
302.868553,20.0569,20.0558,0.6
302.868565,20.0534,20.0549,-0.8
302.868576,20.0560,20.0546,-1.1
302.868588,20.0529,20.0548,0.3
302.8686,20.0544,20.0550,0.2
302.868611,20.0565,20.0561,1.5
302.868623,20.0555,20.0555,0.3
302.868634,20.0549,20.0547,-1.5
302.868646,20.0568,20.0551,-0.2
302.868657,20.0564,20.0558,0.9
302.868669,20.0574,20.0563,1.3
302.868681,20.0584,20.0562,0.5
302.868692,20.0574,20.0560,-0.3
302.868704,20.0562,20.0559,-0.4
302.868715,20.0544,20.0559,-0.3
302.868727,20.0575,20.0561,0.4
302.868738,20.0581,20.0557,-0.1
302.86875,20.0547,20.0552,-1.0
302.868762,20.0586,20.0561,0.4
302.868773,20.0572,20.0571,2.0
302.868785,20.0552,20.0566,0.1
302.868796,20.0566,20.0560,-1.2
302.868808,20.0590,20.0561,-0.3
302.868819,20.0579,20.0568,0.9
302.868831,20.0577,20.0570,1.0
302.868843,20.0586,20.0567,-0.3
302.868854,20.0581,20.0566,-0.5
302.868866,20.0575,20.0566,-0.3
302.868877,20.0573,20.0571,0.4
302.868889,20.0557,20.0573,0.7
302.8689,20.0562,20.0575,0.5
302.868912,20.0580,20.0574,0.1
302.868924,20.0583,20.0576,-0.2
302.868935,20.0587,20.0582,0.9
302.868947,20.0569,20.0573,-0.2
302.868958,20.0589,20.0568,-1.2
302.86897,20.0584,20.0572,-0.1
302.868981,20.0569,20.0573,0.7
302.868993,20.0578,20.0576,0.2
302.869005,20.0579,20.0584,1.1
302.869016,20.0588,20.0578,-0.1
302.869028,20.0590,20.0577,-0.7
302.869039,20.0590,20.0589,1.1
302.869051,20.0588,20.0591,1.4
302.869062,20.0570,20.0579,-0.9
302.869074,20.0590,20.0575,-1.3
302.869086,20.0588,20.0580,0.5
302.869097,20.0567,20.0574,0.1
302.869109,20.0566,20.0572,-0.8
302.86912,20.0590,20.0578,0.4
302.869132,20.0571,20.0578,0.7
302.869144,20.0592,20.0578,-0.2
302.869155,20.0597,20.0590,1.4
302.869167,20.0554,20.0580,0.0
302.869178,20.0584,20.0576,-1.3
302.86919,20.0593,20.0580,0.2
302.869201,20.0565,20.0583,0.5
302.869213,20.0575,20.0581,0.0
302.869225,20.0570,20.0585,0.4
302.869236,20.0579,20.0586,0.5
302.869248,20.0586,20.0585,-0.0
302.869259,20.0590,20.0589,0.4
302.869271,20.0616,20.0594,1.0
302.869282,20.0591,20.0592,0.3
302.869294,20.0572,20.0583,-1.1
302.869306,20.0604,20.0589,-0.1
302.869317,20.0595,20.0591,0.6
302.869329,20.0570,20.0583,-0.9
302.86934,20.0610,20.0582,-0.7
302.869352,20.0572,20.0580,-0.0
302.869363,20.0601,20.0581,-0.3
302.869375,20.0598,20.0594,1.4
302.869387,20.0558,20.0590,0.7
302.869398,20.0599,20.0585,-0.9
302.86941,20.0594,20.0584,-0.4
302.869421,20.0574,20.0584,0.2
302.869433,20.0604,20.0591,0.8
302.869444,20.0590,20.0598,1.3
302.869456,20.0602,20.0597,0.4
302.869468,20.0588,20.0593,-0.2
302.869479,20.0576,20.0592,-0.5
302.869491,20.0607,20.0590,-0.3
302.869502,20.0593,20.0592,-0.0
302.869514,20.0604,20.0591,-0.1
302.869525,20.0617,20.0595,0.4
302.869537,20.0615,20.0601,1.0
302.869549,20.0593,20.0602,0.5
302.86956,20.0620,20.0603,0.2
302.869572,20.0599,20.0597,-0.6
302.869583,20.0596,20.0594,-0.9
302.869595,20.0582,20.0597,0.2
302.869606,20.0584,20.0594,-0.0
302.869618,20.0571,20.0595,-0.1
302.86963,20.0582,20.0595,0.2
302.869641,20.0600,20.0597,0.3
302.869653,20.0568,20.0605,1.2
302.869664,20.0601,20.0599,0.1
302.869676,20.0588,20.0596,-1.0
302.869687,20.0601,20.0598,0.3
302.869699,20.0594,20.0600,0.2
302.869711,20.0598,20.0599,-0.2
302.869722,20.0570,20.0590,-1.2
302.869734,20.0573,20.0587,-1.2
302.869745,20.1042,20.0622,3.2
302.869757,21.3904,20.2161,157.3
302.869769,25.5626,22.7392,2673.4
302.86978,25.5687,25.3812,4929.9
302.869792,25.5664,25.5643,2276.8
302.869803,25.5601,25.5661,36.3
302.869815,25.5629,25.5670,-0.5
302.869826,25.5658,25.5666,-1.0
302.869838,25.5688,25.5669,-0.2
302.86985,25.5670,25.5668,0.3
302.869861,25.5651,25.5676,0.9
302.869873,25.5685,25.5676,0.6
302.869884,25.5688,25.5674,-0.2
302.869896,25.5673,25.5682,0.7
302.869907,25.5651,25.5678,0.1
302.869919,25.5672,25.5670,-1.0
302.869931,25.5708,25.5681,0.7
302.869942,25.5673,25.5679,0.7
302.869954,25.5653,25.5667,-1.6
302.869965,25.5696,25.5670,-0.8
302.869977,25.5666,25.5682,1.5
302.869988,25.5680,25.5678,0.5
302.87,25.5737,25.5680,-0.3
302.870012,25.5710,25.5691,1.5
302.870023,25.5716,25.5697,1.1
302.870035,25.5694,25.5698,0.5
302.870046,25.5681,25.5689,-0.7
302.870058,25.5677,25.5685,-1.2
302.870069,25.5702,25.5691,0.3
302.870081,25.5701,25.5697,1.3
302.870093,25.5706,25.5695,0.2
302.870104,25.5709,25.5697,0.1
302.870116,25.5706,25.5694,-0.1
302.870127,25.5701,25.5694,-0.4
302.870139,25.5684,25.5692,-0.2
302.87015,25.5686,25.5687,-0.3
302.870162,25.5692,25.5694,0.2
302.870174,25.5707,25.5698,1.1
302.870185,25.5703,25.5696,0.2
302.870197,25.5694,25.5700,0.2
302.870208,25.5680,25.5695,-0.3
302.87022,25.5684,25.5695,-0.4
302.870231,25.5709,25.5703,0.9
302.870243,25.5694,25.5700,0.4
302.870255,25.5720,25.5702,0.1
302.870266,25.5683,25.5703,0.5
302.870278,25.5720,25.5701,-0.3
302.870289,25.5681,25.5701,-0.2
302.870301,25.5709,25.5696,-0.5
302.870312,25.5718,25.5700,-0.1
302.870324,25.5716,25.5702,0.8
302.870336,25.5685,25.5699,-0.1
302.870347,25.5704,25.5702,-0.3
302.870359,25.5684,25.5700,0.0
302.87037,25.5694,25.5697,-0.5
302.870382,25.5697,25.5704,0.6
302.870394,25.5708,25.5710,1.4
302.870405,28.8106,25.9629,392.6
302.870417,29.7130,28.2332,2661.6
302.870428,29.9505,29.7294,3359.3
302.87044,31.8229,30.7561,2140.3
302.870451,28.6619,31.5909,1771.8
302.870463,31.7745,31.3721,21.2
302.870475,31.9487,31.8350,6.0
302.870486,31.8193,31.8303,1.3
302.870498,31.8216,31.8210,-13.3
302.870509,31.8244,31.8229,0.4
302.870521,31.8229,31.8240,1.5
302.870532,31.8210,31.8234,0.2
302.870544,31.8220,31.8221,-1.9
302.870556,31.8212,31.8229,0.1
302.870567,31.8241,31.8233,1.2
302.870579,31.8240,31.8236,0.7
302.87059,31.8247,31.8236,0.5
302.870602,31.8253,31.8235,-0.1
302.870613,31.8229,31.8235,0.2
302.870625,31.8215,31.8232,-0.1
302.870637,31.8244,31.8233,-0.3
302.870648,31.8240,31.8241,1.0
302.87066,31.8239,31.8242,1.0
302.870671,31.8248,31.8244,0.5
302.870683,31.8244,31.8250,0.8
302.870694,31.8239,31.8249,0.2
302.870706,31.8251,31.8246,-0.5
302.870718,31.8242,31.8245,-0.2
302.870729,31.8241,31.8249,0.3
302.870741,31.8237,31.8250,0.5
302.870752,31.8221,31.8250,-0.1
302.870764,31.8264,31.8256,0.8
302.870775,31.8254,31.8255,0.6
302.870787,31.8257,31.8257,0.2
302.870799,31.8264,31.8255,0.0
302.87081,31.8261,31.8254,-0.6
302.870822,31.8270,31.8257,0.2
302.870833,31.8255,31.8258,0.3
302.870845,31.8254,31.8260,0.4
302.870856,31.8245,31.8254,-0.5
302.870868,31.8237,31.8254,-0.4
302.87088,31.8268,31.8266,1.2
302.870891,31.8263,31.8266,0.8
302.870903,31.8281,31.8262,-0.4
302.870914,31.8269,31.8260,-0.4
302.870926,31.8266,31.8259,-0.3
302.870938,31.8237,31.8256,-0.3
302.870949,31.8253,31.8256,-0.2
302.870961,31.8284,31.8264,0.8
302.870972,39.7426,33.9028,2077.2
302.870984,33.9056,36.6960,4866.1
302.870995,39.7454,36.7675,2065.5
302.871007,37.5236,38.4744,1641.0
302.871019,39.8266,38.9990,2185.5
302.87103,39.8285,39.6752,955.7
302.871042,39.8288,39.8256,827.3
302.871053,39.8258,39.8256,8.7
302.871065,39.8255,39.8242,0.3
302.871076,39.8269,39.8258,1.8
302.871088,39.8254,39.8261,1.5
302.8711,39.8228,39.8246,-1.5
302.871111,39.8257,39.8242,-1.8
302.871123,39.8262,39.8254,0.9
302.871134,39.8247,39.8253,0.9
302.871146,39.8232,39.8251,-0.4
302.871157,39.8239,39.8251,-0.5
302.871169,39.8240,39.8249,-0.6
302.871181,39.8282,39.8246,-0.6
302.871192,39.8254,39.8249,0.1
302.871204,39.8261,39.8253,0.8
302.871215,39.8245,39.8254,0.3
302.871227,39.8247,39.8251,-0.4
302.871238,39.8247,39.8256,0.2
302.87125,39.8278,39.8261,1.0
302.871262,39.8276,39.8264,0.9
302.871273,39.8251,39.8273,1.2
302.871285,39.8253,39.8264,-0.5
302.871296,39.8252,39.8261,-0.8
302.871308,39.8235,39.8252,-1.0
302.871319,39.8252,39.8253,-0.8
302.871331,39.8245,39.8264,1.2
302.871343,39.8271,39.8262,0.8
302.871354,39.8265,39.8255,-0.5
302.871366,39.8268,39.8257,-0.5
302.871377,39.8262,39.8262,0.8
302.871389,39.8256,39.8253,-0.6
302.8714,39.8261,39.8252,-0.6
302.871412,39.8286,39.8265,1.3
302.871424,39.8277,39.8268,1.3
302.871435,39.8230,39.8259,-0.6
302.871447,39.8228,39.8251,-1.8
302.871458,39.8275,39.8257,-0.2
302.87147,39.8243,39.8261,0.9
302.871481,39.8251,39.8257,0.1
302.871493,39.8254,39.8253,-0.4
302.871505,39.8296,39.8259,0.4
302.871516,39.8240,39.8259,0.5
302.871528,39.8287,39.8264,0.4
302.871539,39.8239,39.8268,0.7
302.871551,40.0565,39.8413,14.7
302.871562,49.1742,41.4496,1623.1
302.871574,48.8848,45.9532,6098.6
302.871586,48.8871,48.8988,7007.4
302.871597,48.8868,48.8855,2043.6
302.871609,48.8855,48.8864,-2.8
302.87162,48.8862,48.8850,0.8
302.871632,48.8848,48.8856,1.3
302.871644,48.8874,48.8865,1.4
302.871655,48.8893,48.8878,2.1
