Time (h),Reading (kg),Average (kg),Delta (g)
302.909178,49.9864,49.9865,0.7
302.90919,49.9852,49.9857,-0.9
302.909201,49.9840,49.9850,-1.5
302.909213,49.9846,49.9845,-1.2
302.909225,49.9825,49.9843,-0.5
302.909236,49.9860,49.9849,0.4
302.909248,49.9868,49.9861,1.9
302.909259,49.9848,49.9857,0.9
302.909271,49.9876,49.9861,0.1
302.909282,49.9866,49.9859,0.1
302.909294,49.9872,49.9852,-0.9
302.909306,49.9881,49.9860,0.4
302.909317,49.9856,49.9863,0.7
302.909329,49.9845,49.9858,-0.3
302.90934,49.9859,49.9862,-0.2
302.909352,49.9851,49.9860,0.1
302.909363,49.9874,49.9855,-1.0
302.909375,49.9855,49.9861,-0.0
302.909387,49.9868,49.9862,0.4
302.909398,49.9850,49.9852,-0.8
302.90941,49.9861,49.9853,-0.7
302.909421,49.9852,49.9860,0.7
302.909433,49.9840,49.9857,0.3
302.909444,49.9872,49.9859,0.1
302.909456,49.9853,49.9858,0.0
302.909468,49.9860,49.9855,-0.4
302.909479,49.9837,49.9853,-0.3
302.909491,49.9866,49.9853,-0.3
302.909502,49.9865,49.9860,0.5
302.909514,49.9847,49.9854,-0.3
302.909525,49.9884,49.9848,-1.4
302.909537,49.9864,49.9853,-0.0
302.909549,49.9841,49.9856,0.4
302.90956,49.9858,49.9865,1.3
302.909572,49.9859,49.9865,0.8
302.909583,49.9844,49.9859,-0.6
302.909595,49.9822,49.9854,-1.0
302.909606,49.9889,49.9856,0.1
302.909618,49.9874,49.9864,1.2
302.90963,49.9892,49.9868,1.4
302.909641,49.9878,49.9864,-0.0
302.909653,49.9873,49.9861,-0.7
302.909664,49.9865,49.9858,-0.8
302.909676,49.9842,49.9856,-0.7
302.909688,49.9864,49.9857,0.0
302.909699,49.9858,49.9862,0.7
302.909711,49.9859,49.9856,-0.1
302.909722,49.9852,49.9850,-1.2
302.909734,49.9863,49.9864,1.3
302.909745,49.9841,49.9861,0.7
302.909757,49.9868,49.9855,-1.1
302.909769,49.9863,49.9853,-0.7
302.90978,49.9872,49.9855,0.5
302.909792,49.9851,49.9858,0.7
302.909803,49.9854,49.9850,-0.5
302.909815,49.9842,49.9844,-1.3
302.909826,49.9847,49.9842,-0.6
302.909838,49.9849,49.9846,0.2
302.90985,49.9851,49.9852,1.1
302.909861,49.9848,49.9857,1.0
302.909873,49.9847,49.9858,0.6
302.909884,49.9853,49.9852,-0.5
302.909896,49.9856,49.9853,-0.2
302.909907,49.9848,49.9860,0.8
302.909919,49.9853,49.9866,1.2
302.909931,49.9854,49.9865,0.3
302.909942,49.9870,49.9859,-0.6
302.909954,49.9860,49.9855,-1.0
302.909965,49.9844,49.9837,-2.1
302.909977,49.9867,49.9839,-1.1
302.909988,49.9886,49.9852,1.4
302.91,49.9857,49.9856,1.2
302.910012,49.9867,49.9859,0.5
302.910023,49.9830,49.9857,-0.2
302.910035,49.9851,49.9851,-0.7
302.910046,49.9837,49.9852,-0.4
302.910058,49.9847,49.9842,-0.9
302.910069,49.9859,49.9846,-0.7
302.910081,49.9863,49.9852,1.2
302.910093,49.9843,49.9842,-0.7
302.910104,49.9839,49.9845,-0.5
302.910116,49.9863,49.9848,0.5
302.910127,49.9848,49.9850,0.3
302.910139,49.9835,49.9845,-0.4
302.91015,49.9835,49.9838,-0.9
302.910162,49.9864,49.9839,-0.7
302.910174,49.9847,49.9850,1.2
302.910185,49.9857,49.9852,1.1
302.910208,49.9851,49.9846,-0.5
302.91022,49.9844,49.9848,-0.2
302.910231,49.9852,49.9851,0.3
302.910231,49.9851,49.9851,0.3
302.910243,49.9868,49.9853,0.2
302.910255,49.9876,49.9853,-0.1
302.910266,49.9845,49.9855,0.1
302.910278,49.9851,49.9852,-0.3
302.910289,49.9845,49.9849,-0.6
302.910301,49.9845,49.9852,0.2
302.910313,49.9838,49.9848,-0.1
302.910324,49.9859,49.9844,-1.1
302.910336,49.9839,49.9852,0.5
302.910347,49.9841,49.9851,0.6
302.910359,49.9854,49.9849,-0.3
302.91037,49.9868,49.9850,-0.1
302.910382,49.9836,49.9853,0.5
302.910394,49.9833,49.9855,0.4
302.910405,49.9849,49.9857,0.6
302.910417,49.9859,49.9848,-0.5
302.910428,49.9849,49.9848,-0.5
302.91044,49.9833,49.9847,-0.2
302.910451,49.9849,49.9849,0.0
302.910463,49.9848,49.9848,0.0
302.910475,49.9875,49.9848,-0.0
302.910486,49.9850,49.9850,-0.0
302.910509,49.9825,49.9842,-0.7
302.910521,49.9859,49.9840,-1.0
302.910532,49.9831,49.9851,1.0
302.910544,49.9835,49.9845,0.2
302.910556,49.9879,49.9847,-0.5
302.910567,49.9842,49.9852,0.7
302.910579,49.9848,49.9848,-0.0
302.91059,49.9866,49.9850,-0.2
302.910602,49.9836,49.9844,-0.3
302.910613,49.9857,49.9842,-0.7
302.910625,49.9862,49.9854,1.1
302.910637,49.9847,49.9844,-0.2
302.910648,49.9823,49.9834,-2.0
302.91066,49.9829,49.9843,0.1
302.910671,49.9844,49.9851,1.6
302.910683,49.9861,49.9846,0.3
302.910694,49.9856,49.9849,-0.0
302.910706,49.9865,49.9859,1.4
302.910718,49.9863,49.9862,1.3
302.910729,49.9837,49.9851,-0.9
302.910741,49.9835,49.9845,-1.5
302.910752,49.9848,49.9845,-0.6
302.910764,49.9841,49.9852,0.8
302.910775,49.9870,49.9854,0.9
302.910787,49.9863,49.9851,-0.0
302.910787,49.9836,49.9849,-0.7
302.910799,49.9866,49.9846,-0.5
302.910822,49.9860,49.9846,-0.1
302.910833,49.9855,49.9845,-0.2
302.910845,49.9854,49.9846,0.1
302.910856,49.9836,49.9843,-0.1
302.910868,49.9837,49.9841,-0.5
302.91088,49.9815,49.9846,0.4
302.910891,49.9849,49.9848,0.6
302.910903,49.9848,49.9845,0.0
302.910914,49.9834,49.9838,-1.0
302.910926,49.9863,49.9835,-0.8
302.910937,49.9846,49.9842,0.3
302.910949,49.9852,49.9846,0.9
302.910961,49.9856,49.9850,0.5
302.910972,49.9873,49.9853,0.6
302.910984,49.9856,49.9854,0.1
302.910995,49.9861,49.9848,-0.5
302.911007,49.9842,49.9841,-1.5
302.911019,49.9882,49.9852,0.5
302.91103,49.9852,49.9856,1.5
302.911042,49.9853,49.9850,-0.6
302.911053,49.9847,49.9852,-0.2
302.911065,49.9836,49.9852,0.1
302.911076,49.9854,49.9853,0.3
302.911088,49.9833,49.9851,-0.0
302.9111,49.9834,49.9839,-1.4
302.911111,49.9852,49.9839,-0.7
302.911123,49.9855,49.9842,0.5
302.911134,49.9848,49.9843,0.3
302.911146,49.9859,49.9845,0.2
302.911157,49.9869,49.9844,-0.0
302.911169,49.9870,49.9851,0.7
302.911181,49.9876,49.9857,1.3
302.911192,49.9839,49.9857,0.1
302.911204,49.9863,49.9847,-1.2
302.911215,49.9838,49.9843,-1.3
302.911227,49.9826,49.9839,-0.8
302.911238,49.9838,49.9844,0.2
302.91125,49.9831,49.9844,0.4
302.911262,49.9850,49.9844,0.2
302.911273,49.9829,49.9847,0.3
302.911285,49.9853,49.9849,0.2
302.911296,49.9845,49.9851,0.4
302.911308,49.9856,49.9846,-0.3
302.911319,49.9829,49.9843,-0.8
302.911331,49.9825,49.9846,0.2
302.911343,49.9844,49.9842,-0.1
302.911354,49.9843,49.9842,-0.5
302.911366,49.9871,49.9850,1.1
302.911377,49.9852,49.9854,1.2
302.911389,49.9834,49.9847,-0.4
302.9114,49.9833,49.9843,-0.9
302.911412,49.9856,49.9846,0.1
302.911424,49.9815,49.9840,-0.4
302.911435,49.9846,49.9841,-0.2
302.911447,49.9860,49.9843,0.2
302.911458,49.9837,49.9845,0.4
302.91147,49.9839,49.9850,0.7
302.911481,49.9852,49.9845,-0.2
302.911493,49.9842,49.9839,-1.1
302.911505,49.9853,49.9850,0.9
302.911516,49.9843,49.9851,1.2
302.911528,49.9850,49.9850,-0.1
302.911539,49.9851,49.9852,-0.0
302.911551,49.9848,49.9857,0.6
302.911563,49.9879,49.9853,-0.3
302.911574,49.9847,49.9847,-0.9
302.911586,49.9835,49.9841,-1.2
302.911597,49.9860,49.9847,0.1
302.911609,49.9868,49.9848,0.6
302.91162,49.9820,49.9843,-0.5
302.911632,49.9876,49.9838,-1.0
302.911644,49.9844,49.9844,0.4
302.911655,49.9861,49.9841,-0.0
302.911667,49.9828,49.9839,-1.0
302.911678,49.9845,49.9838,-0.5
302.91169,49.9858,49.9843,0.6
302.911701,49.9815,49.9845,0.8
302.911713,49.9840,49.9833,-1.3
302.911725,49.9826,49.9838,-0.2
302.911736,49.9822,49.9837,0.4
302.911748,49.9849,49.9842,0.2
302.911759,49.9839,49.9846,0.7
302.911771,49.9845,49.9848,0.7
302.911782,49.9866,49.9847,0.1
302.911794,49.9840,49.9843,-0.4
302.911806,49.9850,49.9844,-0.4
302.911817,49.9848,49.9842,-0.3
302.911829,49.9825,49.9837,-0.5
302.91184,49.9814,49.9833,-0.7
302.911852,49.9835,49.9835,-0.2
302.911863,49.9851,49.9844,1.1
302.911875,49.9856,49.9846,1.2
302.911887,49.9840,49.9843,-0.1
302.911898,49.9833,49.9842,-0.5
302.91191,49.9840,49.9842,-0.2
302.911921,49.9853,49.9841,0.0
302.911933,49.9848,49.9843,0.1
302.911944,49.9860,49.9848,0.4
302.911956,49.9829,49.9850,0.5
302.911968,49.9847,49.9846,-0.2
302.911979,49.9830,49.9846,-0.5
302.911991,49.9851,49.9845,-0.0
302.912002,49.9840,49.9844,-0.1
302.912014,49.9844,49.9843,-0.3
302.912025,49.9826,49.9843,-0.1
302.912037,49.9846,49.9840,-0.2
302.912049,49.9835,49.9838,-0.4
302.91206,49.9846,49.9838,-0.2
302.912072,49.9834,49.9838,-0.0
302.912083,49.9830,49.9838,0.2
302.912095,49.9844,49.9842,0.4
302.912106,49.9836,49.9848,0.9
302.912118,49.9834,49.9840,0.0
302.91213,49.9856,49.9841,-0.5
302.912141,49.9822,49.9843,0.3
302.912153,49.9828,49.9838,-0.4
302.912164,49.9827,49.9834,-0.8
302.912176,49.9848,49.9831,-0.8
302.912187,49.9849,49.9844,1.0
302.912199,49.9860,49.9844,0.9
302.912211,49.9829,49.9843,-0.2
302.912222,49.9848,49.9842,-0.4
302.912234,49.9832,49.9842,-0.1
302.912245,49.9841,49.9838,-0.6
302.912257,49.9828,49.9835,-0.7
302.912269,49.9819,49.9836,0.0
302.91228,49.9845,49.9843,0.8
302.912292,49.9864,49.9848,1.5
302.912303,49.9856,49.9845,0.1
302.912315,49.9842,49.9845,-0.3
302.912326,49.9846,49.9848,0.0
302.912338,49.9883,49.9845,-0.2
302.91235,49.9822,49.9837,-0.8
302.912361,49.9834,49.9833,-0.7
302.912373,49.9839,49.9844,0.6
302.912384,49.9837,49.9843,0.8
302.912396,49.9822,49.9833,-1.3
302.912407,49.9820,49.9825,-1.4
302.912419,49.9828,49.9827,-0.7
302.912431,49.9842,49.9835,0.9
302.912442,49.9845,49.9840,1.3
302.912454,49.9845,49.9848,1.4
302.912465,49.9857,49.9854,1.5
302.912477,49.9825,49.9839,-1.2
302.912488,49.9837,49.9835,-1.6
302.9125,49.9838,49.9839,0.2
302.912512,49.9829,49.9844,0.9
302.912523,49.9856,49.9846,0.6
302.912535,49.9843,49.9844,0.0
302.912546,49.9790,49.9834,-1.2
302.912558,49.9831,49.9833,-1.2
302.912569,49.9829,49.9830,-0.3
302.912581,49.9865,49.9825,-0.7
302.912593,49.9816,49.9836,0.9
302.912604,49.9852,49.9841,1.4
302.912616,49.9854,49.9844,0.6
302.912627,49.9840,49.9842,0.2
302.912639,49.9848,49.9843,-0.1
302.91265,49.9828,49.9841,-0.1
302.912662,49.9822,49.9835,-0.8
302.912674,49.9824,49.9835,-0.3
302.912685,49.9817,49.9835,-0.0
302.912697,49.9840,49.9830,-0.6
302.912708,49.9844,49.9831,-0.5
302.91272,49.9814,49.9830,0.1
302.912731,49.9829,49.9832,-0.1
302.912743,49.9822,49.9832,0.0
302.912755,49.9816,49.9829,-0.4
302.912766,49.9858,49.9829,-0.2
302.912778,49.9834,49.9833,0.4
302.912789,49.9820,49.9832,0.3
302.912801,49.9859,49.9832,-0.2
302.912813,49.9839,49.9834,0.2
302.912824,49.9848,49.9837,0.3
302.912836,49.9812,49.9835,-0.1
302.912847,49.9839,49.9841,0.6
302.912859,49.9815,49.9842,0.5
302.91287,49.9845,49.9834,-0.6
302.912882,49.9829,49.9834,-0.4
302.912894,49.9823,49.9830,-0.2
302.912905,49.9820,49.9840,0.6
302.912917,49.9829,49.9839,0.5
302.912928,49.9826,49.9838,-0.0
302.91294,49.9835,49.9835,-0.1
302.912951,49.9828,49.9829,-0.8
302.912963,49.9840,49.9835,0.3
302.912975,49.9843,49.9840,1.0
302.912986,49.9836,49.9831,-0.7
302.912998,49.9840,49.9834,-0.4
302.913009,49.9820,49.9834,0.1
302.913021,49.9832,49.9828,-0.5
302.913032,49.9847,49.9828,-0.4
302.913044,49.9832,49.9827,-0.0
302.913056,49.9842,49.9824,-0.6
302.913067,49.9846,49.9834,0.5
302.913079,49.9824,49.9839,1.2
302.91309,49.9852,49.9834,-0.2
302.913102,49.9832,49.9836,-0.2
302.913113,49.9837,49.9842,0.9
302.913125,49.9857,49.9844,0.6
302.913137,49.9844,49.9845,0.3
302.913148,49.9822,49.9838,-0.7
302.91316,49.9818,49.9829,-1.2
302.913171,49.9825,49.9827,-0.7
302.913183,49.9844,49.9829,0.1
302.913194,49.9823,49.9832,0.5
302.913206,49.9849,49.9834,0.6
302.913218,49.9846,49.9842,1.0
302.913229,49.9825,49.9834,-0.2
302.913241,49.9844,49.9829,-1.3
302.913252,49.9835,49.9838,0.6
302.913264,49.9839,49.9835,0.6
302.913275,49.9841,49.9832,-0.8
302.913287,49.9849,49.9830,-0.6
302.913299,49.9837,49.9832,0.1
302.91331,49.9862,49.9843,1.5
302.913322,49.9819,49.9839,0.5
302.913333,49.9839,49.9831,-1.4
302.913345,49.9857,49.9828,-1.0
302.913356,49.9824,49.9828,-0.3
302.913368,49.9858,49.9828,-0.1
302.91338,49.9824,49.9828,0.0
302.913391,49.9833,49.9823,-0.6
302.913403,49.9841,49.9830,0.3
302.913414,49.9851,49.9832,1.0
302.913426,49.9804,49.9829,0.0
302.913437,49.9851,49.9834,0.5
302.913449,49.9814,49.9836,0.9
302.913461,49.9828,49.9828,-0.8
302.913472,49.9834,49.9828,-1.1
302.913484,49.9829,49.9831,0.5
302.913495,49.9802,49.9837,1.1
302.913507,49.9816,49.9833,0.1
302.913519,49.9813,49.9831,-0.4
302.91353,49.9841,49.9828,-0.6
302.913542,49.9840,49.9836,0.5
302.913553,49.9843,49.9840,1.3
302.913565,49.9844,49.9833,-0.5
302.913576,49.9851,49.9839,0.1
302.913588,49.9835,49.9838,0.5
302.9136,49.9863,49.9837,-0.1
302.913611,49.9808,49.9833,-0.7
302.913623,49.9830,49.9824,-1.3
302.913634,49.9843,49.9827,-0.4
302.913646,49.9821,49.9829,0.6
302.913657,49.9848,49.9829,0.1
302.913669,49.9835,49.9837,1.0
302.913681,49.9804,49.9834,0.5
302.913692,49.9831,49.9832,-0.3
302.913704,49.9856,49.9839,0.8
302.913715,49.9834,49.9837,0.2
302.913727,49.9861,49.9834,-0.6
302.913738,49.9845,49.9841,0.3
302.91375,49.9839,49.9846,1.1
302.913762,49.9830,49.9838,-0.4
302.913773,49.9838,49.9834,-1.0
302.913785,49.9829,49.9832,-0.3
302.913796,49.9812,49.9827,-0.9
302.913808,49.9823,49.9833,0.2
302.913819,49.9823,49.9831,0.1
302.913831,49.9816,49.9826,-0.6
302.913843,49.9827,49.9825,-0.5
302.913854,49.9836,49.9835,0.9
302.913866,49.9832,49.9833,0.7
302.913877,49.9822,49.9830,-0.5
302.913889,49.9844,49.9832,-0.4
302.9139,49.9828,49.9838,0.9
302.913912,49.9848,49.9846,1.3
302.913924,49.9825,49.9842,0.3
302.913935,49.9831,49.9828,-1.7
302.913947,49.9858,49.9828,-0.9
302.913958,49.9824,49.9828,0.3
302.91397,49.9869,49.9833,0.3
302.913981,49.9821,49.9839,1.0
302.913993,49.9850,49.9832,-0.3
302.914005,49.9838,49.9834,-0.1
302.914016,49.9838,49.9834,0.2
302.914028,49.9820,49.9828,-0.6
302.914039,49.9817,49.9820,-1.6
302.914051,49.9854,49.9828,-0.0
302.914062,49.9844,49.9841,2.1
302.914074,49.9824,49.9844,1.4
302.914086,49.9847,49.9834,-0.8
302.914097,49.9819,49.9829,-1.2
302.914109,49.9810,49.9827,-0.7
302.91412,49.9835,49.9826,-0.3
302.914132,49.9836,49.9832,0.8
302.914144,49.9817,49.9826,0.1
302.914155,49.9827,49.9824,-0.7
302.914167,49.9839,49.9831,0.3
302.914178,49.9795,49.9827,0.0
302.91419,49.9808,49.9820,-1.1
302.914201,49.9849,49.9827,0.1
302.914213,49.9827,49.9835,1.3
302.914225,49.9852,49.9833,0.5
302.914236,49.9852,49.9831,-0.3
302.914248,49.9829,49.9831,-0.1
302.914259,49.9866,49.9835,0.4
302.914271,49.9824,49.9836,0.4
302.914282,49.9821,49.9831,-0.7
302.914294,49.9826,49.9828,-0.9
302.914306,49.9824,49.9829,0.1
302.914317,49.9816,49.9826,-0.2
302.914329,49.9820,49.9824,-0.4
302.91434,49.9856,49.9830,0.2
302.914352,49.9844,49.9831,0.8
302.914363,49.9803,49.9826,-0.5
302.914375,49.9825,49.9831,-0.1
302.914387,49.9813,49.9836,1.1
302.914398,49.9816,49.9824,-0.9
302.91441,49.9824,49.9821,-1.3
302.914421,49.9853,49.9822,0.0
302.914433,49.9831,49.9824,0.3
302.914444,49.9838,49.9829,0.7
302.914456,49.9832,49.9828,0.1
302.914468,49.9812,49.9826,-0.2
302.914479,49.9799,49.9824,-0.5
302.914491,49.9812,49.9820,-0.6
302.914502,49.9836,49.9826,0.6
302.914514,49.9820,49.9819,0.0
302.914525,49.9823,49.9818,-0.6
302.914537,49.9808,49.9825,0.4
302.914549,49.9804,49.9821,0.1
302.91456,49.9839,49.9823,0.1
302.914572,49.9839,49.9828,0.8
302.914583,49.9804,49.9829,0.6
302.914595,49.9823,49.9825,-0.3
302.914606,49.9832,49.9827,-0.1
302.914618,49.9827,49.9830,0.8
302.91463,49.9808,49.9825,-0.4
302.914641,49.9818,49.9824,-0.4
302.914653,49.9840,49.9825,0.1
302.914664,49.9834,49.9834,0.8
302.914676,49.9830,49.9832,0.6
302.914688,49.9828,49.9829,-0.5
302.914699,49.9839,49.9833,0.2
302.914711,49.9800,49.9828,-0.0
302.914722,49.9838,49.9820,-1.6
302.914734,49.9851,49.9824,-0.2
302.914745,49.9833,49.9826,0.8
302.914757,49.9818,49.9828,0.2
302.914769,49.9835,49.9822,-0.6
302.91478,49.9831,49.9824,-0.1
302.914792,49.9840,49.9830,0.8
302.914803,49.9785,49.9831,0.6
302.914815,49.9829,49.9833,0.3
302.914826,49.9844,49.9840,1.0
302.914838,49.9825,49.9838,0.5
302.91485,49.9824,49.9831,-0.7
302.914861,49.9819,49.9834,-0.3
302.914873,49.9825,49.9827,-0.3
302.914884,49.9828,49.9820,-1.2
302.914896,49.9810,49.9828,0.4
302.914907,49.9816,49.9824,0.3
302.914919,49.9847,49.9836,0.9
302.914931,49.9813,49.9838,1.2
302.914942,49.9816,49.9831,-0.5
302.914954,49.9829,49.9828,-0.7
302.914965,49.9811,49.9825,-0.5
302.914977,49.9850,49.9835,0.7
302.914988,49.9820,49.9838,1.4
302.915,49.9826,49.9820,-1.6
302.915012,49.9815,49.9808,-2.9
302.915023,49.9822,49.9813,-0.6
302.915035,49.9828,49.9819,1.1
302.915046,49.9822,49.9811,-0.6
302.915058,49.9800,49.9810,-0.7
302.915069,49.9843,49.9826,1.7
302.915081,49.9832,49.9829,1.6
302.915093,49.9822,49.9817,-1.2
302.915104,49.9822,49.9820,-0.7
302.915116,49.9808,49.9819,0.2
302.915127,49.9826,49.9814,-0.8
302.915139,49.9811,49.9822,0.3
302.91515,49.9830,49.9831,2.0
302.915162,49.9813,49.9832,0.8
302.915174,49.9830,49.9829,-0.1
302.915185,49.9839,49.9825,-0.4
302.915197,49.9840,49.9816,-1.4
302.915208,49.9807,49.9816,-0.8
302.91522,49.9804,49.9820,0.3
302.915231,49.9825,49.9823,0.6
302.915243,49.9825,49.9822,0.1
302.915255,49.9838,49.9826,0.4
302.915266,49.9793,49.9820,-0.3
302.915278,49.9826,49.9819,-0.6
302.915289,49.9810,49.9826,0.8
302.915301,49.9818,49.9822,-0.0
302.915312,49.9837,49.9825,-0.3
302.915324,49.9815,49.9826,0.3
302.915336,49.9807,49.9816,-0.8
302.915347,49.9819,49.9818,-0.5
302.915359,49.9833,49.9821,0.3
302.91537,49.9813,49.9827,1.0
302.915382,49.9820,49.9823,-0.1
302.915394,49.9831,49.9824,-0.1
302.915405,49.9832,49.9826,0.6
302.915417,49.9825,49.9831,0.6
302.915428,49.9810,49.9828,0.1
302.91544,49.9828,49.9820,-1.1
302.915451,49.9814,49.9822,-0.1
302.915463,49.9827,49.9819,-0.1
302.915475,49.9816,49.9819,-0.4
302.915486,49.9836,49.9817,-0.2
302.915498,49.9807,49.9822,0.4
302.915509,49.9818,49.9818,-0.3
302.915521,49.9789,49.9819,-0.3
302.915532,49.9808,49.9826,1.0
302.915544,49.9831,49.9826,0.6
302.915556,49.9828,49.9824,-0.1
302.915567,49.9837,49.9815,-0.9
302.915579,49.9809,49.9820,-0.5
302.91559,49.9832,49.9825,0.8
302.915602,49.9817,49.9822,-0.3
302.915613,49.9844,49.9825,0.1
302.915625,49.9823,49.9830,1.0
302.915637,49.9807,49.9828,0.5
302.915648,49.9825,49.9821,-1.0
302.91566,49.9835,49.9821,-0.7
302.915671,49.9827,49.9821,-0.2
302.915683,49.9823,49.9821,-0.2
302.915694,49.9793,49.9827,0.6
302.915706,49.9842,49.9824,-0.2
302.915718,49.9836,49.9830,0.4
302.915729,49.9804,49.9822,-0.1
302.915741,49.9851,49.9818,-1.0
302.915752,49.9810,49.9826,0.5
302.915764,49.9828,49.9826,0.9
302.915775,49.9837,49.9825,-0.2
302.915787,49.9819,49.9828,0.1
302.915799,49.9829,49.9824,-0.1
302.91581,49.9821,49.9821,-0.7
302.915822,49.9813,49.9821,-0.2
302.915833,49.9841,49.9818,-0.4
302.915845,49.9817,49.9821,0.1
302.915856,49.9831,49.9823,0.8
302.915868,49.9788,49.9823,0.3
302.91588,49.9841,49.9827,0.6
302.915891,49.9809,49.9829,0.7
302.915903,49.9806,49.9816,-0.9
302.915914,49.9842,49.9815,-1.1
302.915926,49.9822,49.9822,0.8
302.915937,49.9806,49.9823,0.4
302.915949,49.9820,49.9817,-0.8
302.915961,49.9794,49.9816,-0.3
302.915972,49.9825,49.9819,0.1
302.915984,49.9839,49.9826,1.0
302.915995,49.9842,49.9829,1.0
302.916007,49.9847,49.9830,0.3
302.916019,49.9848,49.9828,-0.2
302.91603,49.9801,49.9819,-1.2
302.916042,49.9843,49.9817,-1.2
302.916053,49.9821,49.9827,0.8
302.916065,49.9830,49.9824,0.6
302.916076,49.9820,49.9813,-1.4
302.916088,49.9831,49.9813,-1.0
302.9161,49.9812,49.9820,0.7
302.916111,49.9821,49.9818,0.4
302.916123,49.9831,49.9820,-0.0
302.916134,49.9842,49.9822,0.5
302.916146,49.9825,49.9821,-0.0
302.916157,49.9824,49.9824,0.2
302.916169,49.9810,49.9829,0.6
302.916181,49.9829,49.9828,0.1
302.916192,49.9836,49.9827,-0.2
302.916204,49.9800,49.9818,-0.8
302.916215,49.9805,49.9808,-1.6
302.916227,49.9811,49.9809,-0.8
302.916238,49.9824,49.9819,1.5
302.91625,49.9782,49.9814,0.3
302.916262,49.9821,49.9810,-0.9
302.916273,49.9835,49.9822,1.1
302.916285,49.9826,49.9823,1.1
302.916296,49.9822,49.9816,-0.7
302.916308,49.9803,49.9816,-0.5
302.916319,49.9832,49.9819,0.3
302.916331,49.9819,49.9820,0.3
302.916343,49.9834,49.9818,-0.3
302.916354,49.9831,49.9819,-0.1
302.916366,49.9827,49.9824,0.4
302.916377,49.9804,49.9823,0.3
302.916389,49.9824,49.9814,-1.1
302.9164,49.9822,49.9814,-0.8
302.916412,49.9820,49.9821,1.1
302.916424,49.9817,49.9817,0.0
302.916435,49.9847,49.9822,-0.1
302.916447,49.9821,49.9828,1.2
302.916458,49.9825,49.9823,-0.1
302.91647,49.9800,49.9816,-1.3
302.916481,49.9822,49.9808,-1.3
302.916493,49.9832,49.9804,-1.0
302.916505,49.9813,49.9808,0.1
302.916516,49.9788,49.9810,0.4
302.916528,49.9815,49.9812,0.1
302.916539,49.9834,49.9819,0.9
302.916551,49.9801,49.9821,1.0
302.916562,49.9787,49.9811,-0.9
302.916574,49.9817,49.9805,-1.7
302.916586,49.9807,49.9815,0.7
302.916597,49.9829,49.9819,1.4
302.916609,49.9820,49.9818,0.3
302.91662,49.9806,49.9818,-0.0
302.916632,49.9809,49.9814,-0.5
302.916644,49.9804,49.9814,-0.4
302.916655,49.9819,49.9816,0.4
302.916667,49.9832,49.9819,0.5
302.916678,49.9824,49.9818,0.1
302.91669,49.9800,49.9817,-0.1
302.916701,49.9814,49.9812,-0.8
302.916713,49.9784,49.9807,-1.0
302.916725,49.9831,49.9810,-0.4
302.916736,49.9816,49.9819,1.1
302.916748,49.9820,49.9821,1.0
302.916759,49.9808,49.9820,0.2
302.916771,49.9842,49.9819,-0.1
302.916782,49.9832,49.9822,0.5
302.916794,49.9811,49.9811,-0.8
302.916806,49.9818,49.9810,-1.3
302.916817,49.9834,49.9820,1.2
302.916829,49.9840,49.9827,1.6
302.91684,49.9785,49.9819,-0.2
302.916852,49.9845,49.9818,-1.0
302.916863,49.9823,49.9831,1.4
302.916875,49.9812,49.9823,0.5
302.916887,49.9833,49.9812,-1.5
302.916898,49.9813,49.9812,-0.9
302.91691,49.9800,49.9816,0.6
302.916921,49.9824,49.9815,-0.0
302.916933,49.9810,49.9818,0.2
302.916944,49.9830,49.9825,1.1
302.916956,49.9820,49.9820,-0.1
302.916968,49.9805,49.9810,-1.5
302.916979,49.9811,49.9815,-0.4
302.916991,49.9806,49.9814,0.1
302.917002,49.9803,49.9806,-0.8
302.917014,49.9819,49.9813,0.2
302.917025,49.9837,49.9816,0.6
302.917037,49.9807,49.9815,0.1
302.917049,49.9825,49.9812,-0.3
302.91706,49.9807,49.9806,-0.9
302.917072,49.9776,49.9797,-1.5
302.917083,49.9831,49.9805,0.1
302.917095,49.9822,49.9811,1.5
302.917106,49.9800,49.9814,0.9
302.917118,49.9807,49.9824,1.2
302.91713,49.9822,49.9821,0.3
302.917141,49.9811,49.9821,-0.2
302.917153,49.9821,49.9819,-0.0
302.917164,49.9816,49.9819,-0.2
302.917176,49.9789,49.9813,-0.7
302.917188,49.9823,49.9812,-0.6
302.917199,49.9825,49.9819,0.7
302.917211,49.9806,49.9820,0.8
302.917222,49.9807,49.9817,-0.1
302.917234,49.9796,49.9813,-0.5
302.917245,49.9804,49.9809,-0.5
302.917257,49.9820,49.9817,0.6
302.917269,49.9844,49.9823,1.2
302.91728,49.9808,49.9822,0.6
302.917292,49.9815,49.9817,-0.5
302.917303,49.9830,49.9815,-0.8
302.917315,49.9802,49.9816,0.0
302.917326,49.9829,49.9815,0.2
302.917338,49.9807,49.9814,-0.2
302.91735,49.9843,49.9814,-0.4
302.917361,49.9814,49.9824,1.1
302.917373,49.9833,49.9824,0.9
302.917384,49.9815,49.9824,0.1
302.917396,49.9817,49.9826,0.1
302.917407,49.9840,49.9828,0.4
302.917419,49.9811,49.9820,-0.6
302.917431,49.9808,49.9815,-0.9
302.917442,49.9836,49.9823,0.5
302.917454,49.9816,49.9824,0.9
302.917465,49.9806,49.9821,-0.2
