Time,ID,Grade,A,B,C,D,F,N
2020-03-09 07:55:21,000076,B,0.02,0.86,0.12,0.00,0.00,0.00
2020-03-09 07:58:23,000077,B,0.01,0.79,0.19,0.00,0.00,0.00
2020-03-09 08:10:44,000078,B,0.04,0.49,0.46,0.01,0.00,0.00
2020-03-09 08:12:47,000079,A,0.79,0.15,0.04,0.01,0.00,0.01
2020-03-09 08:28:36,000080,B,0.03,0.94,0.02,0.00,0.00,0.00
2020-03-09 08:28:49,000081,C,0.00,0.10,0.86,0.03,0.01,0.00
2020-03-09 08:29:07,000082,C,0.00,0.36,0.62,0.01,0.00,0.00
2020-03-09 08:50:40,000083,C,0.29,0.22,0.47,0.01,0.01,0.00
2020-03-09 08:53:20,000084,A,0.78,0.22,0.00,0.00,0.00,0.00
2020-03-09 08:57:11,000085,B,0.03,0.67,0.30,0.00,0.00,0.00
2020-03-09 08:57:16,000086,A,0.66,0.29,0.04,0.00,0.00,0.00
2020-03-09 08:59:19,000087,B,0.25,0.65,0.09,0.00,0.00,0.00
2020-03-09 09:00:52,000088,C,0.03,0.26,0.69,0.01,0.01,0.00
2020-03-09 09:01:00,000089,C,0.00,0.25,0.74,0.01,0.00,0.00
2020-03-09 09:01:20,000090,A,0.99,0.01,0.00,0.00,0.00,0.00
2020-03-09 09:01:37,000091,A,0.93,0.02,0.02,0.00,0.00,0.03
2020-03-09 09:02:01,000092,A,0.84,0.12,0.02,0.00,0.00,0.01
2020-03-09 09:04:16,000093,A,0.62,0.25,0.08,0.01,0.00,0.04
2020-03-09 09:06:02,000094,C,0.35,0.17,0.43,0.03,0.02,0.00
2020-03-09 09:06:15,000095,A,0.79,0.17,0.03,0.00,0.00,0.00
2020-03-09 09:06:24,000096,A,0.77,0.19,0.02,0.01,0.00,0.01
2020-03-09 09:07:30,000097,B,0.10,0.75,0.14,0.01,0.00,0.00
2020-03-09 09:12:39,000098,B,0.24,0.76,0.00,0.00,0.00,0.00
2020-03-09 09:21:06,000099,B,0.37,0.60,0.02,0.00,0.00,0.00
2020-03-09 09:23:59,000100,C,0.00,0.02,0.96,0.02,0.00,0.00
2020-03-09 09:24:52,000101,A,0.93,0.05,0.01,0.00,0.00,0.01
2020-03-09 09:26:07,000102,C,0.22,0.15,0.58,0.01,0.01,0.03
2020-03-09 09:30:14,000103,B,0.31,0.52,0.17,0.00,0.00,0.00
2020-03-09 09:32:10,000104,A,0.70,0.25,0.05,0.00,0.00,0.00
2020-03-09 09:34:31,000105,B,0.08,0.73,0.18,0.01,0.00,0.00
2020-03-09 09:35:53,000106,A,0.99,0.01,0.00,0.00,0.00,0.00
2020-03-09 09:44:57,000107,B,0.07,0.61,0.31,0.01,0.00,0.00
2020-03-09 09:52:12,000108,B,0.01,0.81,0.11,0.05,0.02,0.00
2020-03-09 09:52:17,000109,B,0.00,0.89,0.10,0.01,0.00,0.00
2020-03-09 09:52:20,000110,B,0.03,0.83,0.10,0.03,0.01,0.00
2020-03-09 09:54:58,000111,C,0.20,0.30,0.50,0.00,0.00,0.00
2020-03-09 09:57:26,000112,A,0.60,0.31,0.06,0.00,0.01,0.02
2020-03-09 09:57:36,000113,C,0.01,0.07,0.87,0.04,0.01,0.00
2020-03-09 10:03:35,000114,C,0.00,0.00,0.87,0.13,0.00,0.00
2020-03-09 10:11:16,000115,N,0.30,0.05,0.01,0.01,0.01,0.63
2020-03-09 10:12:17,000116,B,0.20,0.55,0.24,0.01,0.00,0.00
2020-03-09 10:16:04,000117,A,0.36,0.24,0.31,0.04,0.01,0.04
2020-03-09 10:17:20,000118,C,0.00,0.00,0.95,0.05,0.00,0.00
2020-03-09 10:20:51,000119,C,0.00,0.23,0.75,0.02,0.00,0.00
2020-03-09 10:35:24,000120,A,0.91,0.08,0.01,0.00,0.00,0.00
2020-03-09 10:39:57,000121,B,0.02,0.73,0.24,0.01,0.00,0.00
2020-03-09 10:40:05,000122,B,0.10,0.86,0.04,0.00,0.00,0.00
2020-03-09 10:41:52,000123,C,0.01,0.36,0.61,0.02,0.00,0.00
2020-03-09 10:43:58,000124,C,0.02,0.25,0.71,0.01,0.00,0.00
2020-03-09 10:46:17,000125,A,0.74,0.20,0.02,0.00,0.00,0.02
2020-03-09 10:51:52,000126,A,0.90,0.09,0.01,0.00,0.00,0.00
2020-03-09 11:00:17,000127,A,0.88,0.06,0.04,0.01,0.00,0.00
2020-03-09 11:02:21,000128,A,1.00,0.00,0.00,0.00,0.00,0.00
2020-03-09 11:02:58,000129,B,0.20,0.79,0.01,0.00,0.00,0.00
2020-03-09 11:03:20,000130,B,0.11,0.87,0.01,0.00,0.00,0.00
2020-03-09 11:05:23,000131,A,0.75,0.24,0.00,0.00,0.00,0.00
2020-03-09 11:10:57,000132,A,0.98,0.02,0.00,0.00,0.00,0.00
2020-03-09 11:13:37,000133,D,0.00,0.00,0.25,0.68,0.07,0.00
2020-03-09 11:16:14,000134,C,0.00,0.01,0.87,0.12,0.00,0.00
2020-03-09 11:16:46,000135,C,0.02,0.27,0.51,0.18,0.01,0.00
2020-03-09 11:19:00,000136,A,0.68,0.31,0.00,0.00,0.00,0.00
2020-03-09 11:19:05,000137,C,0.00,0.00,0.75,0.24,0.00,0.00
2020-03-09 11:19:53,000138,A,0.84,0.15,0.01,0.00,0.00,0.00
2020-03-09 11:20:17,000139,C,0.00,0.00,0.99,0.01,0.00,0.00
2020-03-09 11:22:10,000140,A,0.88,0.12,0.00,0.00,0.00,0.00
2020-03-09 11:23:53,000141,B,0.01,0.62,0.22,0.13,0.02,0.00
2020-03-09 11:23:57,000142,A,0.96,0.04,0.00,0.00,0.00,0.00
2020-03-09 11:26:50,000143,D,0.00,0.00,0.09,0.89,0.02,0.00
2020-03-09 11:30:32,000144,A,0.99,0.01,0.00,0.00,0.00,0.00
2020-03-09 11:33:22,000145,A,0.96,0.02,0.02,0.00,0.00,0.00
2020-03-09 11:34:57,000146,A,0.84,0.08,0.03,0.03,0.01,0.00
2020-03-09 11:37:20,000147,C,0.10,0.26,0.44,0.18,0.01,0.00
2020-03-09 11:40:00,000148,B,0.14,0.83,0.02,0.01,0.00,0.00
2020-03-09 11:40:45,000149,B,0.01,0.63,0.35,0.01,0.00,0.00
2020-03-09 11:42:12,000150,B,0.07,0.90,0.02,0.01,0.00,0.00
2020-03-09 11:46:31,000151,C,0.00,0.05,0.93,0.02,0.00,0.00
2020-03-09 11:51:54,000152,N,0.00,0.00,0.00,0.00,0.00,1.00
2020-03-09 12:01:22,000153,C,0.00,0.11,0.87,0.01,0.00,0.00
2020-03-09 12:02:40,000154,N,0.45,0.01,0.00,0.01,0.01,0.52
2020-03-09 12:02:50,000155,N,0.01,0.00,0.00,0.00,0.00,0.98
2020-03-09 12:07:15,000156,B,0.08,0.78,0.14,0.01,0.00,0.00
2020-03-09 12:11:22,000157,C,0.00,0.33,0.64,0.03,0.00,0.00
2020-03-09 12:13:28,000158,C,0.01,0.24,0.71,0.04,0.00,0.00
