Time,ID,Grade,A,B,C,D,F,N
2020-02-25 22:46:49,000107,C,0.02,0.25,0.35,0.33,0.05,0.00
2020-02-25 22:46:50,000107,C,0.02,0.25,0.35,0.33,0.05,0.00
2020-02-25 22:46:50,000107,C,0.02,0.25,0.35,0.33,0.05,0.00
2020-02-25 22:46:50,000107,C,0.02,0.25,0.35,0.33,0.05,0.00
2020-02-25 22:46:51,000107,C,0.02,0.25,0.35,0.33,0.05,0.00
2020-02-25 22:46:51,000107,C,0.02,0.25,0.35,0.33,0.05,0.00
2020-02-25 22:46:51,000107,C,0.02,0.25,0.35,0.33,0.05,0.00
2020-02-25 22:46:52,000107,C,0.02,0.25,0.35,0.33,0.05,0.00
2020-02-25 22:46:52,000107,C,0.02,0.25,0.35,0.33,0.05,0.00
2020-02-25 22:46:52,000107,C,0.02,0.25,0.35,0.33,0.05,0.00
2020-02-25 22:46:53,000107,C,0.02,0.25,0.35,0.33,0.05,0.00
2020-02-25 22:46:53,000107,C,0.02,0.25,0.35,0.33,0.05,0.00
2020-02-25 22:46:53,000107,C,0.02,0.25,0.35,0.33,0.05,0.00
2020-02-25 22:46:54,000107,C,0.02,0.25,0.35,0.33,0.05,0.00
2020-02-25 22:46:54,000107,C,0.02,0.25,0.35,0.33,0.05,0.00
2020-02-25 22:46:54,000107,C,0.02,0.25,0.35,0.33,0.05,0.00
2020-02-25 22:46:55,000107,C,0.02,0.25,0.35,0.33,0.05,0.00
2020-02-25 22:46:55,000107,C,0.02,0.25,0.35,0.33,0.05,0.00
2020-02-25 22:46:55,000107,C,0.02,0.25,0.35,0.33,0.05,0.00
2020-02-25 22:46:56,000107,C,0.02,0.25,0.35,0.33,0.05,0.00
2020-02-25 22:46:56,000107,C,0.02,0.25,0.35,0.33,0.05,0.00
2020-02-25 22:46:56,000107,C,0.02,0.25,0.35,0.33,0.05,0.00
2020-02-25 22:46:57,000107,C,0.02,0.25,0.35,0.33,0.05,0.00
2020-02-25 22:47:46,000107,C,0.02,0.25,0.35,0.33,0.05,0.00
2020-02-25 22:49:19,000108,C,0.00,0.16,0.75,0.09,0.00,0.00
2020-02-25 23:12:43,000108,C,0.00,0.16,0.75,0.09,0.00,0.00
2020-02-25 23:12:58,000107,C,0.02,0.25,0.35,0.33,0.05,0.00
2020-02-25 23:14:31,000107,C,0.02,0.25,0.35,0.33,0.05,0.00
2020-02-25 23:14:33,000108,C,0.00,0.16,0.75,0.09,0.00,0.00
2020-02-25 23:17:25,000108,C,0.00,0.16,0.75,0.09,0.00,0.00
2020-02-25 23:17:29,000108,C,0.00,0.16,0.75,0.09,0.00,0.00
2020-02-25 23:18:01,000108,C,0.00,0.16,0.75,0.09,0.00,0.00
2020-02-25 23:18:05,000108,C,0.00,0.16,0.75,0.09,0.00,0.00
2020-02-25 23:18:27,000107,C,0.02,0.25,0.35,0.33,0.05,0.00
2020-02-25 23:19:30,000107,C,0.02,0.25,0.35,0.33,0.05,0.00
