Time,ID,Action,Weight (kg),Weight (g)
2019-11-24 12:59:36,000086,food added,,44.81
2019-11-24 12:59:44,000087,food added,,87.99
2019-11-24 13:01:58,,weight checked,3.829,
2019-11-24 13:02:09,000088,food added,,23.65
2019-11-24 13:02:35,000089,food added,,57.05
2019-11-24 13:05:19,000090,food added,,132.85
2019-11-24 13:06:44,000091,food added,,131.23
2019-11-24 13:06:58,,weight checked,4.149,
2019-11-24 13:08:41,000092,food added,,47.14
2019-11-24 13:11:58,,weight checked,4.187,
2019-11-24 13:16:58,,weight checked,4.184,
2019-11-24 13:17:46,000093,food added,,235.91
2019-11-24 13:21:57,,weight checked,4.413,
2019-11-24 13:26:57,,weight checked,4.413,
2019-11-24 13:31:57,,weight checked,4.410,
2019-11-24 13:36:56,,weight checked,4.404,
2019-11-24 13:41:56,,weight checked,4.401,
2019-11-24 13:46:55,,weight checked,4.395,
2019-11-24 13:48:25,000094,scale reset,0.001,
2019-11-24 13:53:51,,weight checked,-0.007,
2019-11-24 13:58:50,,weight checked,-0.014,
2019-11-24 14:03:00,000095,scale reset,-0.002,
2019-11-24 14:08:25,,weight checked,0.001,
2019-11-24 14:13:25,,weight checked,0.000,
2019-11-24 14:18:25,,weight checked,-0.005,
2019-11-24 14:23:24,,weight checked,-0.006,
2019-11-24 14:28:24,,weight checked,-0.010,
2019-11-24 14:33:23,,weight checked,-0.012,
2019-11-24 14:38:23,,weight checked,-0.015,
2019-11-24 14:43:23,,weight checked,-0.015,
2019-11-24 14:48:22,,weight checked,-0.019,
2019-11-24 14:53:22,,weight checked,-0.012,
2019-11-24 14:58:21,,weight checked,-0.014,
2019-11-24 15:03:21,,weight checked,-0.013,
2019-11-24 15:08:21,,weight checked,-0.012,
2019-11-24 15:13:20,,weight checked,-0.016,
2019-11-24 15:18:20,,weight checked,-0.021,
2019-11-24 15:23:19,,weight checked,-0.020,
2019-11-24 15:28:19,,weight checked,-0.018,
2019-11-24 15:33:18,,weight checked,-0.017,
2019-11-24 15:38:18,,weight checked,-0.018,
2019-11-24 15:43:17,,weight checked,-0.018,
2019-11-24 15:48:17,,weight checked,-0.014,
2019-11-24 15:53:17,,weight checked,-0.016,
2019-11-24 15:58:16,,weight checked,-0.017,
2019-11-24 16:03:16,,weight checked,-0.014,
2019-11-24 16:08:15,,weight checked,-0.015,
2019-11-24 16:13:15,,weight checked,-0.017,
2019-11-24 16:18:14,,weight checked,-0.019,
2019-11-24 16:23:14,,weight checked,-0.021,
2019-11-24 16:28:13,,weight checked,-0.022,
2019-11-24 16:33:13,,weight checked,-0.017,
2019-11-24 16:38:13,,weight checked,-0.017,
2019-11-24 16:43:12,,weight checked,-0.019,
2019-11-24 16:48:12,,weight checked,-0.019,
2019-11-24 16:53:11,,weight checked,-0.019,
2019-11-24 16:58:01,000096,food added,,95.18
2019-11-24 16:58:12,000097,food added,,16.17
2019-11-24 16:58:13,,weight checked,0.085,
2019-11-24 17:03:11,,weight checked,0.094,
2019-11-24 17:08:10,,weight checked,0.094,
2019-11-24 17:09:30,000098,food added,,32.09
2019-11-24 17:09:41,000099,food added,,101.92
2019-11-24 17:10:01,000100,food added,,63.00
2019-11-24 17:10:09,000101,food added,,29.12
2019-11-24 17:12:00,000102,food added,,54.62
2019-11-24 17:13:10,,weight checked,0.346,
2019-11-24 17:16:23,000103,food added,,214.64
2019-11-24 17:16:29,000104,food added,,31.56
2019-11-24 17:16:36,000105,food added,,20.08
2019-11-24 17:16:52,000106,food added,,20.07
2019-11-24 17:18:10,,weight checked,0.603,
2019-11-24 17:18:17,000107,food added,,144.69
2019-11-24 17:20:44,000108,food added,,60.28
2019-11-24 17:23:10,,weight checked,0.789,
2019-11-24 17:25:55,000109,food added,,416.69
2019-11-24 17:28:10,,weight checked,1.166,
2019-11-24 17:29:27,000110,food added,,74.66
2019-11-24 17:30:31,000111,food added,,80.46
2019-11-24 17:31:35,000112,food added,,29.26
2019-11-24 17:32:02,000113,food added,,60.50
2019-11-24 17:32:07,000114,food added,,31.41
2019-11-24 17:32:11,000115,food added,,76.84
2019-11-24 17:33:10,,weight checked,1.478,
2019-11-24 17:33:39,000116,food added,,45.35
2019-11-24 17:33:51,000117,food added,,61.02
2019-11-24 17:34:16,000118,food added,,18.15
2019-11-24 17:35:39,000119,food added,,75.01
2019-11-24 17:38:10,,weight checked,1.683,
2019-11-24 17:39:54,000120,food added,,180.38
2019-11-24 17:41:07,000121,food added,,102.38
2019-11-24 17:41:21,000122,food added,,110.78
2019-11-24 17:42:55,000123,food added,,22.73
2019-11-24 17:43:11,,weight checked,2.133,
2019-11-24 17:43:18,000125,food added,,24.55
2019-11-24 17:44:48,000126,food added,,302.92
2019-11-24 17:45:00,000127,food added,,30.10
2019-11-24 17:48:10,,weight checked,2.268,
2019-11-24 17:49:07,000128,food added,,44.30
2019-11-24 17:49:48,000129,food added,,51.97
2019-11-24 17:49:53,000130,food added,,41.42
2019-11-24 17:50:06,000131,food added,,169.19
2019-11-24 17:50:14,000132,food added,,41.34
2019-11-24 17:53:00,000133,food added,,34.26
2019-11-24 17:53:10,,weight checked,2.626,
2019-11-24 17:58:09,,weight checked,2.618,
2019-11-24 17:58:21,000134,food added,,29.11
2019-11-24 17:59:27,000135,food added,,98.48
2019-11-24 17:59:34,000136,food added,,27.98
2019-11-24 18:03:09,,weight checked,2.764,
2019-11-24 18:03:40,000137,food added,,158.77
2019-11-24 18:03:53,000138,food added,,106.65
2019-11-24 18:07:15,000139,food added,,117.92
2019-11-24 18:08:09,,weight checked,3.143,
2019-11-24 18:13:09,,weight checked,3.149,
2019-11-24 18:18:08,,weight checked,3.168,
2019-11-24 18:23:08,,weight checked,3.168,
2019-11-24 18:23:45,000140,bin removed,6.470,
2019-11-24 18:49:36,000141,scale reset,0.002,
2019-11-24 18:53:52,000142,food added,,23.23
2019-11-24 18:54:33,,weight checked,0.610,
2019-11-24 18:59:33,,weight checked,1.065,
2019-11-24 19:04:32,,weight checked,1.371,
2019-11-24 19:05:08,000143,food added,,1457.97
2019-11-24 19:05:17,000144,food added,,22.82
